Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
PACK,Ranpak Holdings Corp Class A Common Stock,6.81,91.4,-10.9,6.76,5.48,5.4,7.64,3.24
CHEF,"The Chefs' Warehouse, Inc. - Common Stock",97.08,91.4,-5.2,87.37,72.13,68.88,102.36,54.6
TKR,Timken Company (The) Common Stock,137.78,91.3,-5.2,131.47,109.52,101.32,145.32,70.03
PGEN,"Precigen, Inc. - Common Stock",4.95,91.3,-16.4,4.68,4.28,4.16,5.92,1.52
ALNT,Allient Inc. - Common Stock,87.67,91.2,-14.8,82.97,70.05,65.35,102.93,37.93
CMPR,Cimpress plc - Ordinary Shares,102.85,91.2,-2.3,95.1,81.96,78.09,105.31,44.03
OII,"Oceaneering International, Inc. Common Stock",42.28,91.1,-2.3,38.9,34.51,31.88,43.28,20.47
ODC,Oil-Dri Corporation Of America Common Stock,97.21,91.0,-8.7,89.2,70.81,67.27,106.44,45.94
CTRN,"Citi Trends, Inc. - Common Stock",64.21,91.0,0.0,50.97,47.34,45.1,64.21,29.09
PBYI,Puma Biotechnology Inc - Common Stock,8.53,90.9,0.0,7.5,6.89,6.45,8.53,3.07
CCSI,"Consensus Cloud Solutions, Inc. - Common Stock",37.44,90.8,-3.4,33.67,28.14,27.4,38.76,19.66
PGNY,"Progyny, Inc. - Common Stock",31.93,90.8,-1.3,26.68,23.05,22.8,32.36,16.3
KOP,Koppers Holdings Inc. Common Stock,49.14,90.7,0.0,43.56,37.0,34.7,49.14,26.16
SCHL,Scholastic Corporation - Common Stock,46.96,90.7,-0.8,42.94,37.46,35.14,47.34,20.79
GHM,Graham Corporation Common Stock,107.79,90.7,-12.9,105.34,88.18,80.83,123.79,46.97
FET,"Forum Energy Technologies, Inc. Common Stock",52.44,90.6,-18.7,52.33,51.25,45.81,64.54,18.16
SION,"Sionna Therapeutics, Inc. - Common Stock",49.41,90.6,0.0,40.91,39.88,38.99,49.41,16.74
PNTG,"The Pennant Group, Inc. - Common Stock",41.95,90.6,0.0,35.42,32.2,30.59,41.95,22.07
ANDE,"The Andersons, Inc. - Common Stock",79.24,90.5,0.0,71.2,67.03,61.96,79.24,34.13
PRG,"PROG Holdings, Inc. Common Stock",46.42,90.5,-2.3,38.95,34.02,32.85,47.53,25.95
CXW,"CoreCivic, Inc. Common Stock",30.65,90.5,-3.9,25.82,21.42,20.6,31.89,16.13
NTAP,"NetApp, Inc. - Common Stock",163.88,90.5,-9.2,150.67,118.97,117.58,180.53,93.35
USIO,"Usio, Inc. - Common Stock",2.12,90.4,-16.9,1.81,1.47,1.46,2.55,1.05
DCO,Ducommun Incorporated Common Stock,168.47,90.4,-11.4,159.49,133.45,123.26,190.25,86.41
WERN,"Werner Enterprises, Inc. - Common Stock",46.04,90.4,0.0,41.34,35.13,32.9,46.04,22.87
MIRM,"Mirum Pharmaceuticals, Inc. - common stock",118.86,90.3,-7.6,107.75,96.92,90.51,128.57,51.12
AOUT,"American Outdoor Brands, Inc. - Common Stock",13.89,90.3,-4.1,10.89,9.54,8.97,14.49,6.36
