Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
DCO,Ducommun Incorporated Common Stock,177.44,92.7,-6.7,162.76,136.14,125.23,190.25,86.41
RAPP,"Rapport Therapeutics, Inc. - Common Stock",40.68,92.6,-4.6,38.75,33.28,31.73,42.62,14.04
NVEC,NVE Corporation - Common Stock,117.55,92.6,-12.4,98.48,79.34,75.83,134.21,55.94
ICCC,ImmuCell Corporation - Common Stock,11.03,92.6,-5.9,10.14,7.89,7.38,11.72,4.56
SAIH,SAIHEAT Limited - Class A Ordinary Shares,14.8,92.4,0.0,11.99,9.79,9.39,14.8,5.65
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",34.51,92.4,-3.1,27.63,22.64,21.79,35.61,11.68
BCAX,Bicara Therapeutics Inc. - Common Stock,27.02,92.4,-11.1,24.31,20.59,19.71,30.4,9.99
ODC,Oil-Dri Corporation Of America Common Stock,98.79,92.3,-7.2,91.16,72.34,68.17,106.44,45.94
BMHL,Bluemount Holdings Limited - Class B Ordinary Shares,5.63,92.3,-8.6,5.31,4.18,3.99,6.16,3.07
CTRN,"Citi Trends, Inc. - Common Stock",62.92,92.3,-5.9,52.85,48.0,45.91,66.83,29.09
LPG,Dorian LPG Ltd. Common Stock,45.32,92.2,-5.0,41.22,34.74,32.25,47.72,22.84
USEA,United Maritime Corporation - Common Stock,2.55,92.2,-4.9,2.5,2.06,1.91,2.68,1.3
INDV,"Indivior Pharmaceuticals, Inc.  - Common Stock",40.53,92.2,-3.1,38.82,35.4,34.06,41.83,16.81
TKR,Timken Company (The) Common Stock,141.3,92.2,-2.8,133.68,111.27,102.93,145.32,70.03
PGNY,"Progyny, Inc. - Common Stock",31.19,92.1,-3.6,27.67,23.23,23.07,32.36,16.3
RELL,"Richardson Electronics, Ltd. - Common Stock",17.96,92.0,-17.7,17.36,13.86,13.04,21.82,9.29
RNG,"RingCentral, Inc. Class A Common Stock",48.31,92.0,-1.5,40.38,36.33,34.3,49.02,23.54
CBRL,"Cracker Barrel Old Country Store, Inc. - Common Stock",53.71,91.9,-17.5,43.14,34.02,33.4,65.12,24.52
ARKO,ARKO Corp. - Common Stock,7.93,91.9,-8.2,7.75,6.36,5.86,8.64,3.76
LTH,"Life Time Group Holdings, Inc. Common Stock",42.33,91.9,-1.2,37.09,30.88,29.61,42.84,24.59
WKC,World Kinect Corporation Common Stock,38.14,91.8,0.0,31.9,27.15,26.41,38.14,22.24
CVE,Cenovus Energy Inc Common Stock,29.28,91.8,-7.4,27.61,24.12,22.41,31.62,14.21
GRC,Gorman-Rupp Company (The) Common Stock,81.73,91.8,-10.9,80.27,67.73,62.22,91.74,37.36
FSTR,L.B. Foster Company - Common Stock,42.4,91.8,-6.1,41.79,34.1,32.28,45.17,22.08
KRYS,"Krystal Biotech, Inc. - Common Stock",335.19,91.7,-11.4,332.02,288.34,267.65,378.15,134.94
CTOS,"Custom Truck One Source, Inc. Common Stock",10.86,91.7,-9.3,10.36,8.14,7.63,11.97,5.34
AAMI,Acadian Asset Management Inc. Common Stock,80.88,91.7,-3.7,75.85,62.36,58.17,83.95,39.43
KOP,Koppers Holdings Inc. Common Stock,50.22,91.6,-2.4,44.34,37.73,35.29,51.47,26.16
BRKR,Bruker Corporation - Common Stock,60.45,91.6,-3.5,55.62,46.14,45.02,62.65,29.21
CMBT,CMB.TECH NV Ordinary Shares,15.74,91.5,-4.9,15.09,12.95,12.03,16.55,7.49
UFCS,"United Fire Group, Inc - Common Stock",51.33,91.5,-4.8,48.91,41.52,39.56,53.93,25.74
OOMA,"Ooma, Inc. Common Stock",20.02,91.4,-4.5,18.77,15.25,14.27,20.97,10.58
ALNT,Allient Inc. - Common Stock,86.78,91.4,-15.7,85.01,71.13,66.45,102.93,37.93
BBCP,"Concrete Pumping Holdings, Inc.  - Common Stock",10.53,91.3,-12.6,9.89,7.94,7.57,12.05,5.73
BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",26.93,91.3,0.0,24.5,21.74,20.47,26.93,13.31
KRT,Karat Packaging Inc. - Common Stock,39.52,91.3,0.0,31.19,27.35,26.02,39.52,19.92
PNTG,"The Pennant Group, Inc. - Common Stock",41.16,91.3,-1.9,36.03,32.57,30.97,41.95,22.07
LXRX,"Lexicon Pharmaceuticals, Inc. - Common Stock",2.29,91.2,-13.3,2.17,1.73,1.65,2.64,1.02
CCSI,"Consensus Cloud Solutions, Inc. - Common Stock",36.37,91.2,-6.2,34.25,28.54,27.58,38.76,19.66
SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",7.67,91.1,0.0,6.75,6.18,5.81,7.67,3.75
YPF,YPF Sociedad Anonima Common Stock,51.4,91.0,-8.8,49.65,42.7,40.37,56.35,23.57
NVRI,Enviri Corporation Common Stock,22.08,91.0,-5.2,21.06,19.54,18.28,23.28,8.27
MSGS,Madison Square Garden Sports Corp. Class A Common Stock (New),396.4,90.9,-1.6,379.26,328.82,302.17,403.03,192.65
CGON,"CG Oncology, Inc. - Common stock",69.32,90.9,-7.9,65.56,60.76,56.04,75.24,23.94
TRGP,"Targa Resources, Inc. Common Stock",281.33,90.9,-1.5,270.05,237.05,218.76,285.58,143.89
AVT,"Avnet, Inc. - Common Stock",89.42,90.8,-3.8,87.17,70.71,65.09,92.93,43.64
CHEF,"The Chefs' Warehouse, Inc. - Common Stock",94.86,90.8,-7.3,88.8,73.2,69.86,102.36,54.6
XHR,"Xenia Hotels & Resorts, Inc. Common Stock",21.49,90.7,0.0,19.04,16.41,15.58,21.49,11.98
PSX,Phillips 66 Common Stock,206.77,90.6,-2.6,182.45,164.52,156.65,212.27,114.45
OGN,Organon & Co. Common Stock ,13.52,90.6,-0.3,13.45,9.99,9.44,13.56,5.69
MIRM,"Mirum Pharmaceuticals, Inc. - common stock",113.03,90.6,-12.1,108.59,98.58,91.57,128.57,51.12
GKOS,Glaukos Corporation Common Stock,153.58,90.5,-2.1,136.3,122.98,115.34,156.84,74.67
CMTV,Community Bancorp.  - Common stock,40.56,90.5,-2.4,38.88,34.38,31.46,41.55,20.17
RAL,Ralliant Corporation Common Stock,69.43,90.5,-5.7,66.06,53.36,51.54,73.63,38.32
PAMT,PAMT CORP - Common Stock,16.22,90.4,0.0,13.7,11.55,11.24,16.22,7.53
CON,"Concentra Group Holdings Parent, Inc. Common Stock",31.61,90.4,-0.9,28.39,24.14,23.07,31.91,18.56
VIRT,"Virtu Financial, Inc. Class A Common Stock",59.74,90.3,-10.6,57.34,46.53,43.35,66.82,31.82
CADL,"Candel Therapeutics, Inc. - Common Stock",9.56,90.3,-7.7,9.02,6.83,6.45,10.36,4.42
BVS,Bioventus Inc. - Class A Common Stock,11.8,90.3,-5.1,10.08,9.18,8.67,12.43,6.14
LNTH,"Lantheus Holdings, Inc. - Common Stock",104.82,90.2,-5.5,102.76,84.1,77.32,110.94,50.11
MAMA,"Mama's Creations, Inc. - Common Stock",17.74,90.2,-14.1,16.5,15.39,14.33,20.65,7.98
PAYS,"Paysign, Inc. - Common Stock",8.69,90.1,-4.7,7.56,5.72,5.63,9.12,3.18
CVV,CVD Equipment Corporation - Common Stock,7.05,90.1,-13.2,6.78,5.27,4.85,8.12,2.77
JBHT,"J.B. Hunt Transport Services, Inc. - Common Stock",288.3,90.1,-3.4,277.52,237.92,220.58,298.41,129.81
VTRS,Viatris Inc. - Common Stock,17.24,90.0,-2.0,16.36,14.7,13.61,17.59,8.41
ABX,"Abacus Global Management, Inc. Class A Common Stock",10.38,90.0,-13.5,9.88,9.12,8.37,12.0,4.87
VIK,Viking Holdings Ltd Ordinary Shares,100.71,90.0,-4.0,94.57,81.54,76.76,104.95,56.58
CLBK,"Columbia Financial, Inc. - Common Stock",10.88,90.0,-2.3,9.52,8.47,8.11,11.14,6.24
STT,State Street Corporation Common Stock,185.4,89.9,-0.6,167.84,143.82,136.84,186.59,105.86
PRLB,"Proto Labs, Inc. Common stock",78.24,89.8,-4.2,76.37,64.88,61.41,81.68,38.74
DAR,Darling Ingredients Inc. Common Stock,62.5,89.8,-3.6,58.85,53.97,48.92,64.84,29.74
CALY,Callaway Golf Company Common Stock,18.16,89.8,-7.6,17.14,15.08,13.9,19.66,8.12
MSGE,Madison Square Garden Entertainment Corp. Class A Common Stock,76.26,89.8,-5.8,73.77,64.38,60.09,80.95,36.33
HXL,Hexcel Corporation Common Stock,110.28,89.7,0.0,96.02,88.2,83.64,110.28,59.0
FSEA,"First Seacoast Bancorp, Inc. - Common Stock",16.9,89.7,-0.2,16.82,14.22,13.61,16.94,11.12
